province,altimetry,n_farms,tot_sau_ha,lambda1,lambda2,lambda3,s1,s2,s3,max_yield,risk,share of ladies,wheat acreage distribution,farm acreage distribution,age distribution
Agrigento,Collina,3763,46849.5,0.16319,3.04271,1.66804,0.74862,0.12941,0.28491,73.79,10.55,0.34,lognorm|1.0267053623414724|-0.007367407066988555|2.8404684113682186,invgauss|2.1599502301585387|-0.034746473355077606|5.837818673624401,exponweib|1.4200971227811716|4.69803185488055|-15.98697951672866|79.77163775293988
Agrigento,Montagna,641,12842.7,2.51762,2.32773,3.41232,0.14826,0.71579,0.19924,29.04,7.57,0.41,betaprime|3.343296903891283|1.540264389218185|0.08653306390710863|1.4440859275598834,lognorm|1.2201244692291753|-0.007809185497528597|9.30016469430197,weibull_min|4.681353680696459|0.9498132844712827|66.79039156651282
Agrigento,Pianura,376,4952.9,0.27802,0.63274,1.33775,0.39245,0.68277,0.08638,50.93,9.49,0.32,exponweib|15.16670670761766|0.35040288894622595|0.004058422128392171|0.08377788240012302,betaprime|4.989821580766404|1.2998085529693437|0.021048808478518775|1.16158468508615,weibull_min|5.027090512131423|-0.5194486209180493|66.99497807596302
Alessandria,Collina,82,3039.7,2.71998,1.4739,1.49873,0.14079,0.14158,0.09447,66.9,12.07,0.28,invgauss|1.88677245744886|0.01340594343728558|3.2636123134194595,invgauss|2.2902397478297454|-1.2950043105217972|18.97816558930112,weibull_min|4.461323744175639|-0.6019484982107273|64.71664311519231
Alessandria,Pianura,185,8248,0.01698,0.62628,1.33775,0.67641,0.22152,0.08638,71.29,11.07,0.18,exponweib|14.908161045955072|0.3141047076159791|0.022429072844352006|0.13855005981000534,exponweib|1.0122773918673853|0.986610714219055|0.0032332625277339995|44.104223296692915,weibull_min|4.701068314176249|1.4308463445260882|62.719392400133756
Ancona,Collina,2776,66400,0.03512,0.54219,0.6416,0.26151,0.10364,0.12529,77.13,9.01,0.29,betaprime|4.470075303703398|1.2487760850912477|-0.009342605604388769|0.9933306284774058,betaprime|1.8388921586707854|1.0674299321681913|0.3329045269269849|3.6387584662476016,exponweib|0.88110632302119|4.912593404169144|3.836984889939215|67.29354056183473
Ancona,Montagna,466,10542.8,0.02055,3.38072,3.41232,0.41009,0.15713,0.19924,56.72,7.62,0.25,lognorm|1.1460413713423858|0.014123427648354425|3.9231647807800973,exponweib|15.512344622187406|0.3101535082250362|-0.057337413893208344|0.28835488342006876,weibull_min|4.661311795305622|1.069157509331699|67.58345961983923
Arezzo,Collina,552,16673.1,0.02814,1.82587,2.29604,0.40414,0.17028,0.25899,58.81,8.84,0.3,lognorm|1.1292573130335213|0.011907272002534986|4.080710329055308,betaprime|1.701432080041736|1.6778051161448415|0.02233061199032941|12.051445233469021,weibull_min|4.242451937408018|1.5144123894241892|66.63164158925278
Arezzo,Montagna,23,601.6,0.02171,2.19669,3.41232,0.47398,0.1774,0.19924,58.93,7.29,0.22,exponweib|0.9693361280447789|1.0025665430384763|0.0005916089079045999|4.478296640520181,betaprime|1.0051130643110442|64.55401401904015|0.002604869132215695|1675.191029765692,weibull_min|4.419993343406341|2.6108010611453394|62.19610659799556
Ascoli Piceno,Collina,510,11681.9,0.02997,1.34585,0.45103,0.41135,0.16966,0.11255,68.03,8.22,0.28,lognorm|1.1061672305251886|0.0032051139778005743|3.586173083908064,lognorm|1.227071480074662|0.00982055729233339|10.46791176688123,weibull_min|4.939647895380942|-3.1121101239941797|71.17299395168499
Ascoli Piceno,Montagna,25,958.4,0.01528,1.42337,3.41232,0.4535,0.17245,0.19924,65.17,7.62,0.36,betaprime|1.4929130783753428|1.4967400244606828|0.013860790330096214|3.3145642258638737,weibull_min|0.801477096147281|0.0007589502740131999|33.519250542212916,weibull_min|4.516433344837438|-1.1219373416471408|65.59336043486036
Avellino,Collina,948,7429.9,0.05824,1.06211,1.49873,0.95537,0.25895,0.09447,58.42,9.79,0.49,exponweib|11.984646950344644|0.36892408252288145|0.007541748310196504|0.08271062102151203,lognorm|0.8874278970153809|0.014016102903681793|5.325848270650737,exponweib|0.9860677112319891|5.122562505498578|-1.3298153807822075|65.46983445936834
Avellino,Montagna,3388,46025.1,0.02331,1.51921,3.41232,0.69732,0.14768,0.19924,85.74,8.02,0.5,exponweib|16.645228138717677|0.310277282247738|0.005953134939685984|0.0641578705978949,lognorm|1.0388926892832542|-0.005288835593657422|8.175335063636867,weibull_min|4.644004330615178|0.09010519629620282|64.91081817144642
