province,altimetry,n_farms
Agrigento,Collina,3763
Agrigento,Montagna,641
Agrigento,Pianura,376
Alessandria,Collina,82
Alessandria,Pianura,185
Ancona,Collina,2776
Ancona,Montagna,466
Arezzo,Collina,552
Arezzo,Montagna,23
Ascoli Piceno,Collina,510
Ascoli Piceno,Montagna,25
Avellino,Collina,948
Avellino,Montagna,3388
Bari,Collina,4711
Bari,Pianura,490
Barletta-Andria-Trani,Collina,880
Barletta-Andria-Trani,Pianura,257
Benevento,Collina,1685
Benevento,Montagna,1581
Bergamo,Collina,16
Bergamo,Pianura,67
Bologna,Collina,283
Bologna,Montagna,12
Bologna,Pianura,733
Brescia,Collina,43
Brescia,Pianura,149
Brindisi,Collina,376
Brindisi,Pianura,1077
Cagliari,Collina,40
Cagliari,Pianura,210
Caltanissetta,Collina,4162
Caltanissetta,Pianura,636
Campobasso,Collina,5174
Campobasso,Montagna,1838
Caserta,Collina,219
Caserta,Montagna,13
Caserta,Pianura,328
Catania,Collina,3027
Catania,Montagna,351
Catania,Pianura,339
Catanzaro,Collina,401
Catanzaro,Montagna,44
Catanzaro,Pianura,34
Chieti,Collina,3024
Chieti,Montagna,209
Cosenza,Collina,1115
Cosenza,Montagna,375
Cosenza,Pianura,218
Cremona,Pianura,164
Crotone,Collina,232
Crotone,Montagna,61
Crotone,Pianura,982
Cuneo,Collina,88
Cuneo,Montagna,22
Cuneo,Pianura,127
Enna,Collina,3230
Enna,Montagna,718
Fermo,Collina,1168
Ferrara,Pianura,1155
Firenze,Collina,143
Firenze,Montagna,17
Firenze,Pianura,19
Foggia,Collina,6325
Foggia,Montagna,999
Foggia,Pianura,9956
Forlì-Cesena,Collina,82
Forlì-Cesena,Pianura,199
Frosinone,Collina,291
Frosinone,Montagna,69
Grosseto,Collina,1074
Grosseto,Montagna,45
Grosseto,Pianura,351
Isernia,Collina,67
Isernia,Montagna,229
L'Aquila,Montagna,329
Latina,Collina,78
Latina,Pianura,172
Lecce,Pianura,3859
Livorno,Collina,487
Lodi,Pianura,33
Lucca,Montagna,16
Lucca,Pianura,38
Macerata,Collina,2776
Macerata,Montagna,80
Mantova,Collina,23
Mantova,Pianura,565
Matera,Collina,3285
Matera,Montagna,92
Matera,Pianura,1370
Messina,Collina,329
Messina,Montagna,536
Milano,Pianura,132
Modena,Collina,25
Modena,Montagna,20
Modena,Pianura,161
Napoli,Collina,81
Napoli,Pianura,69
Nuoro,Collina,130
Nuoro,Montagna,30
Oristano,Collina,243
Oristano,Pianura,393
Padova,Collina,39
Padova,Pianura,487
Palermo,Collina,3649
Palermo,Montagna,2896
Palermo,Pianura,592
Parma,Collina,189
Parma,Montagna,22
Parma,Pianura,277
Pavia,Collina,70
Pavia,Montagna,10
Pavia,Pianura,155
Perugia,Collina,880
Perugia,Montagna,192
Pesaro e Urbino,Collina,2321
Pesaro e Urbino,Montagna,159
Pescara,Collina,1030
Pescara,Montagna,129
Piacenza,Collina,162
Piacenza,Montagna,17
Piacenza,Pianura,146
Pisa,Collina,509
Pisa,Pianura,139
Pistoia,Collina,14
Pistoia,Montagna,10
Potenza,Collina,4376
Potenza,Montagna,2706
Ragusa,Collina,1419
Ragusa,Pianura,279
Ravenna,Collina,26
Ravenna,Pianura,898
Reggio Calabria,Collina,278
Reggio Calabria,Montagna,142
Reggio Calabria,Pianura,38
Reggio nell'Emilia,Collina,28
Reggio nell'Emilia,Montagna,11
Reggio nell'Emilia,Pianura,106
Rieti,Collina,69
Rieti,Montagna,90
Rimini,Collina,150
Rimini,Pianura,82
Roma,Collina,430
Roma,Montagna,19
Roma,Pianura,620
Rovigo,Pianura,666
Salerno,Collina,1050
Salerno,Montagna,212
Salerno,Pianura,197
Sassari,Collina,184
Sassari,Montagna,15
Sassari,Pianura,170
Siena,Collina,718
Siena,Montagna,51
Siracusa,Collina,831
Siracusa,Pianura,353
Sondrio,Montagna,13
Sud Sardegna,Collina,1282
Sud Sardegna,Pianura,1600
Taranto,Collina,1501
Taranto,Pianura,1141
Teramo,Collina,907
Teramo,Montagna,47
Terni,Collina,281
Torino,Collina,70
Torino,Montagna,16
Torino,Pianura,196
Trapani,Collina,2462
Trapani,Pianura,1302
Trento,Montagna,56
Treviso,Collina,46
Treviso,Pianura,209
Udine,Collina,16
Udine,Pianura,80
Venezia,Pianura,229
Verona,Collina,14
Verona,Pianura,308
Vibo Valentia,Collina,345
Vibo Valentia,Montagna,21
Vicenza,Collina,100
Vicenza,Pianura,172
Viterbo,Collina,993
Viterbo,Pianura,755
